"site","east","north","AMEAN66","AMEAN67","AMEAN68","AMEAN69","AMEAN70","AMEAN71","AMEAN72","AMEAN73","AMEAN74","AMEAN75","AMEAN76","AMEAN77","AMEAN78","AMEAN79","AMEAN80","AMEAN81","AMEAN82","AMEAN83","AMEAN84","AMEAN85","AMEAN86","AMEAN87","AMEAN88","AMEAN89","AMEAN90","AMEAN91","AMEAN92","AMEAN93","AMEAN94","AMEAN95","AMEAN96"
"WESTON SUPER MARE 1",332800,161000,81,83,61,80,62,33,NA,38,31,25,23,17,28,28,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEYMOUTH 3",367600,79300,NA,NA,175,100,70,75,76,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHICKHAM 3",421000,561300,NA,NA,NA,NA,NA,NA,NA,59,52,51,27,20,14,15,15,15,13,15,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHISTON 1",347700,392100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19,21,21,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHISTON 2",347800,391700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,22,17,16,10,9,7
"WHITBURN 2",294500,664300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,21,21,20,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITBURN 3",294800,665000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,13,12,9,12,9,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITBY 2",489600,511000,101,90,81,68,71,58,54,57,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITBY 4",490300,510600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,51,54,46,53,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITEFIELD 4",380500,405700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,37,40,34,21,34,18,20,17,15,9,NA,NA,NA,NA,NA
"WHITEHAVEN 1",298400,515700,135,150,109,86,62,52,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITEHAVEN 2",297400,518100,NA,NA,NA,NA,NA,NA,101,48,30,24,29,31,28,23,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITLEY BAY 3",434400,571800,33,29,32,29,24,21,20,21,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITLEY BAY 4",435400,572100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,14,12,12,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITNASH 1",432100,263500,NA,NA,32,31,31,27,26,24,20,19,18,14,15,11,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITSTABLE 1",611200,167100,103,96,92,76,60,58,60,41,30,25,30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WICKFORD 1",574500,193400,112,106,87,99,79,66,57,44,29,25,25,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIDNES 1",351300,385400,63,64,65,53,55,46,34,30,23,24,27,23,25,15,11,14,9,12,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIDNES 2",352800,386800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,25,17,22,17,18,18,15,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIDNES 7",348500,385900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,18,10,14,11,10,12,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIDNES 8",351300,385400,177,209,225,212,183,187,152,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIDNES 9",352800,386600,NA,NA,NA,NA,NA,NA,NA,61,67,38,33,23,22,18,18,20,14,14,18,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIGAN 1",355800,404600,NA,NA,NA,NA,NA,NA,NA,NA,82,53,52,38,31,27,18,27,20,24,26,24,22,22,20,14,NA,NA,NA,NA,NA,NA,NA
"WIGAN 6",358400,407500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,19,14,14,13,13,11
"WIGAN 7",358900,405700,NA,NA,NA,100,45,43,55,44,42,45,42,31,33,28,19,26,20,29,27,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIGAN 8",359200,405600,49,35,51,48,40,49,36,37,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLENHALL 15",396500,298300,27,34,29,25,29,25,17,24,18,19,18,13,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLESDEN 13",524400,183800,54,42,54,50,42,36,37,37,22,33,27,18,15,9,8,23,14,14,15,12,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIMBLEDON 4",522600,170200,30,35,36,26,28,22,22,28,19,24,20,13,13,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIMBLEDON 5",525700,170500,NA,NA,46,30,43,43,32,32,24,28,25,26,30,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIMBLEDON 7",524900,171500,NA,NA,35,57,49,53,45,33,25,29,30,33,36,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINDSOR 3",496200,176300,NA,NA,NA,NA,NA,52,46,44,24,17,17,13,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINDSOR 4",495200,176400,30,25,30,25,26,23,22,21,15,22,23,20,23,14,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINSLOW 1",477000,227700,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,17,12,14,12,NA,6,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WITHAM 2",582100,214700,49,53,61,47,20,42,28,26,26,26,26,22,22,17,14,17,9,13,12,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WITNEY 1",435000,210200,NA,NA,NA,NA,50,32,33,24,22,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOLVERHAMPTON 7",389800,295800,220,207,191,179,175,118,166,157,159,111,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOMBOURNE 2",387600,292900,163,227,167,166,170,121,181,159,137,96,101,85,86,87,68,76,41,56,28,27,40,38,37,28,26,24,18,15,14,14,9
"WOMBWELL 1",439600,403000,53,48,56,44,42,44,36,30,23,36,33,19,22,23,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOOD GREEN 1",530800,190700,NA,NA,NA,NA,NA,NA,NA,24,16,19,22,18,21,25,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOODFORD 3",542000,191700,NA,110,80,52,62,55,38,36,44,48,30,23,25,21,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOOLSTON (LANCS) 1",363800,389300,41,39,38,44,38,43,35,32,26,28,22,17,17,13,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOOLWICH 8",542400,174500,30,30,27,26,25,27,24,21,17,21,18,14,17,14,12,12,11,12,9,5,9,9,11,9,11,9,7,7,6,10,7
"WOOLWICH 15",546500,179500,31,29,31,29,32,27,27,27,19,24,19,17,18,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORKINGTON 3",299900,528700,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,23,34,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,9,3,2,2,2,10
"WORKINGTON 4",300300,528700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,25,19,21,20,18,19,17,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORKSOP 7",458600,378900,122,133,119,93,95,87,85,70,56,56,48,42,38,47,49,51,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORKSOP 9",458700,380100,131,146,113,95,98,91,89,73,67,29,23,35,27,38,30,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORSBROUGH BRIDGE 1",435300,403700,142,127,128,124,119,112,119,83,41,57,77,59,61,53,42,63,38,35,22,30,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORSBROUGH BRIDGE 2",435600,404000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,27,29,29,30,20,14,9,11,11
"WORSLEY 4",373600,403000,129,133,110,82,73,70,97,42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORSLEY 5",372100,403700,125,127,123,80,98,69,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WORSLEY 6",375500,400500,120,115,81,58,86,65,78,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WREXHAM 6",335000,350300,NA,108,132,99,97,81,92,28,24,26,19,24,20,17,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WREXHAM 7",333700,350500,NA,NA,NA,NA,85,55,53,40,28,35,18,23,20,22,18,21,17,17,17,16,18,19,17,15,18,13,11,10,8,14,10
"WREXHAM 9",329200,346400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,52,40,43,34,39,35,33,33,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YORK 4",457300,450700,87,94,82,70,81,64,51,36,34,31,26,23,23,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YORK 5",460700,453100,129,134,87,146,110,80,70,53,53,38,41,46,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YORK 6",460600,451400,NA,NA,NA,NA,NA,NA,61,38,39,38,36,29,28,28,17,24,17,18,11,15,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA
"YORK 7",457300,450700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,14,13,9,10,10,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"YORK 8",460700,453600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,31,19,22,14,19,16,21,13,11,7,13,8,7,7,7,NA
"YORK 9",460100,452100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16,12,8,7,10,8,8,8,8,7
