code,E2001,E2002,E2003,E2004,E2005,E2006,E2007,E2008,E2009,E2010
00BK,65.162888,65.89604,66.747093,67.354212,68.716791,70.135067,71.169133,72.683492,74.477943,74.477943
00BL,102.09149,102.620752,103.251135,103.462623,103.71335,104.29086,104.866057,105.915752,107.236608,107.236608
00BM,69.323115,69.88619,70.365045,70.669689,71.922864,72.763558,73.114873,73.744184,74.672941,74.672941
00BN,144.74239,144.296417,143.406032,142.395364,141.347166,140.159631,139.323777,138.76001,137.865559,137.865559
00BP,81.313795,81.379948,81.618055,81.942778,82.099124,82.171917,82.635341,82.940246,83.524768,83.524768
00BQ,76.047936,76.818735,77.107578,77.642552,78.028337,78.257443,78.442871,79.054512,79.695949,79.695949
00BR,90.023911,89.379982,88.53729,87.586339,87.541464,87.730325,88.139964,88.521893,88.498816,88.498816
00BS,121.284208,122.004601,122.907774,124.165519,125.424644,126.763341,128.200536,130.010842,132.040068,132.040068
00BT,83.410669,83.351137,83.526961,83.709087,84.174756,84.8022,85.114107,85.935703,86.709469,86.709469
00BU,89.248741,89.666174,90.02658,90.540872,91.2479,91.586408,92.173382,93.179982,94.158213,94.158213
00BW,111.185567,112.088381,112.807228,113.585982,115.062754,116.678499,118.320007,120.649983,123.268936,123.268936
00BX,52.867652,54.10108,55.152209,56.030537,57.024457,58.160229,59.201347,59.805001,60.518742,60.518742
00BY,167.38853,166.677496,166.033508,166.254726,166.894822,167.185775,167.318056,167.301621,167.477881,167.477881
00BZ,69.203644,69.818286,70.676277,71.485508,72.170402,73.145439,74.063511,75.167753,76.106447,76.106447
00CA,134.694044,136.02101,136.89463,138.168728,139.188654,140.872356,142.593691,143.836676,145.391031,145.391031
00CB,146.1876,147.718842,148.834224,149.889852,150.993355,152.009762,152.969486,153.541338,154.326614,154.326614
00CC,90.700899,91.664181,92.57385,92.460159,93.26032,94.054023,94.515922,95.76754,97.292802,97.292802
00CE,119.368628,121.270068,122.765127,124.209846,125.088545,126.585075,127.622196,128.88386,130.610755,130.610755
00CF,99.673446,101.245986,102.62417,103.351666,104.345754,105.284078,106.55783,107.593027,108.978747,108.978747
00CG,220.069606,220.239096,219.647145,219.044683,219.264552,220.048762,220.929881,222.025417,224.028042,224.028042
00CH,82.687029,83.603368,84.399696,84.821538,85.024159,86.102252,87.428922,87.849495,88.686986,88.686986
00CJ,110.102975,109.979412,109.838469,110.032699,110.495902,110.633557,110.815597,110.941869,111.48268,111.48268
00CK,87.758878,88.43677,89.050359,89.355397,90.224372,90.625046,91.42266,91.89655,92.323153,92.323153
00CL,69.28962,69.888518,70.345056,70.843515,70.994975,71.439725,71.932727,72.32107,72.927227,72.927227
00CM,108.688239,109.957055,111.255202,112.93054,114.620384,116.625423,118.049366,119.312038,120.885666,120.885666
00CN,370.913484,371.270597,369.861066,368.869884,368.564453,367.837844,368.025604,368.291281,368.939806,368.939806
00CQ,121.287483,122.166889,121.98059,121.92229,122.204808,122.020862,122.131641,122.657223,123.408836,123.408836
00CR,128.510264,130.483064,131.719576,133.462689,135.464469,137.668694,139.565539,142.176044,144.750053,144.750053
00CS,119.030131,119.352926,119.545631,119.918357,120.428526,120.701917,120.392859,120.945875,121.582826,121.582826
00CT,86.28397,87.885642,89.457229,91.073674,92.822939,94.4414,95.857113,97.833537,99.990377,99.990377
00CU,102.251027,104.115201,105.537362,107.366452,109.221845,110.530363,112.263941,113.879257,115.124768,115.124768
00CW,102.604552,103.778254,104.571155,105.175785,105.86559,106.298776,107.184628,107.709972,108.36765,108.36765
00CX,174.965813,176.372491,177.092398,178.187305,179.498466,180.580646,181.091657,181.670714,183.371116,183.371116
00CY,79.549886,80.007958,80.36254,80.464194,80.599503,81.473166,81.781625,82.918634,83.767542,83.767542
00CZ,149.322798,150.140398,151.136741,152.211875,153.506551,154.411835,155.275289,156.29611,157.748116,157.748116
00DA,284.811774,286.000422,287.02832,288.062683,289.916407,291.529745,293.326964,295.400642,297.859248,297.859248
