"ozone","temp","wind","date"
55.43057,13.2958333333333,6.25416666666667,2017-07-26
41.71013,12.3541666666667,5.375,2017-07-27
49.79272,13.45,5.48333333333333,2017-07-28
58.17466,13.3041666666667,6.35,2017-07-29
57.42627,13.2083333333333,3.9,2017-07-30
52.03788,12.6875,4.27916666666667,2017-07-31
49.14411,12.0583333333333,4.3875,2017-08-01
65.8581,11.9083333333333,4.07916666666667,2017-08-02
53.28519,14.7458333333333,3.15,2017-08-03
61.31788,13.0166666666667,5.2125,2017-08-04
60.27014,12.475,3.2375,2017-08-05
55.48046,10.8,4.3625,2017-08-06
46.5497,13.1416666666667,3.75833333333333,2017-08-07
81.02542,11.8,4.3625,2017-08-08
57.8753,12.3916666666667,5.98333333333333,2017-08-09
57.72562,12.9583333333333,4.59583333333333,2017-08-10
52.43702,14.3625,6.76666666666667,2017-08-11
62.11616,12.8083333333333,4.675,2017-08-12
62.21595,11.65,3.67083333333333,2017-08-13
59.2224,11.7958333333333,5.6875,2017-08-14
45.70153,14.4583333333333,4.19583333333333,2017-08-15
50.14196,11.3458333333333,6.0125,2017-08-16
46.44992,14.975,4.9875,2017-08-17
40.31314,12.2916666666667,4.07083333333333,2017-08-18
48.99444,13.3666666666667,5.775,2017-08-19
53.93379,13.1958333333333,4.18333333333333,2017-08-20
62.36563,12.5,3.57916666666667,2017-08-21
71.94499,13.4708333333333,4.6625,2017-08-22
66.78943,13.8041666666667,5.47916666666667,2017-08-23
37.02024,13.8375,3.79166666666667,2017-08-24
33.52776,13.9458333333333,3.76666666666667,2017-08-25
63.01423,13.2041666666667,2.57083333333333,2017-08-26
52.68648,13.1958333333333,3.79583333333333,2017-08-27
60.36993,14.6958333333333,6.3,2017-08-28
54.5824,10.5166666666667,5.25833333333333,2017-08-29
54.23315,12.1875,3.73333333333333,2017-08-30
52.28734,11.475,2.82916666666667,2017-08-31
58.07487,10.0333333333333,2.43333333333333,2017-09-01
61.36778,9.73333333333333,3.92083333333333,2017-09-02
79.57854,13.2625,7.63333333333333,2017-09-03
68.18642,13.45,6.59583333333333,2017-09-04
51.98799,13.0041666666667,4.54166666666667,2017-09-05
49.69293,11.7583333333333,4.25416666666667,2017-09-06
34.12647,10.7208333333333,4.24166666666667,2017-09-07
54.08347,12.0083333333333,3.22916666666667,2017-09-08
62.16606,11.275,4.34583333333333,2017-09-09
51.58885,10.625,5.2125,2017-09-10
56.32863,10.2833333333333,5.73333333333333,2017-09-11
57.17681,11.2291666666667,5.3,2017-09-12
63.8790809,10.0083333333333,4.4125,2017-09-13
57.32648,10.625,6.59583333333333,2017-09-14
55.28089,10.725,7.54166666666667,2017-09-15
55.48046,10.575,6.03333333333333,2017-09-16
64.31143,10.1625,4.56666666666667,2017-09-17
53.08562,7.3625,4.0875,2017-09-18
44.15486,8.89166666666667,2.54166666666667,2017-09-19
39.36518,11.35,4.77916666666667,2017-09-20
49.29379,10.1833333333333,3.72916666666667,2017-09-21
48.24605,8.14583333333333,4.125,2017-09-22
41.85981,11.6083333333333,6.83333333333333,2017-09-23
69.00133,12.6,7.21666666666667,2017-09-24
73.74112,12.6333333333333,5.69166666666667,2017-09-25
55.231,12.0958333333333,4.17083333333333,2017-09-26
77.98198,12.9125,7.74166666666667,2017-09-27
75.37094,12.7958333333333,5.99166666666667,2017-09-28
50.82383,12.05,6.81666666666667,2017-09-29
62.21595,9.7125,4.975,2017-09-30
75.53725,9.64166666666667,6.03333333333333,2017-10-01
77.13381,10.8291666666667,7.11666666666667,2017-10-02
70.09896,8.8625,5.99583333333333,2017-10-03
65.25939,9.31666666666667,5.75833333333333,2017-10-04
70.94714,8.13333333333333,6.8625,2017-10-05
75.8366,8.12083333333333,5.64166666666667,2017-10-06
58.17466,11.3833333333333,5.725,2017-10-07
56.97724,10.4125,3,2017-10-08
42.90755,10.975,3.5125,2017-10-09
61.51745,9.8625,6.075,2017-10-10
59.17251,11.5333333333333,5.8,2017-10-11
57.07702,8.75,6.45833333333333,2017-10-12
53.08562,13.7541666666667,7.4875,2017-10-13
49.79272,10.2166666666667,5.725,2017-10-14
69.05122,12.4291666666667,6.41666666666667,2017-10-15
73.94069,10.0083333333333,6.47083333333333,2017-10-16
67.8538,11.5416666666667,8.49166666666667,2017-10-17
69.55015,7.425,3.7125,2017-10-18
60.07057,10.7166666666667,5.7875,2017-10-19
41.76002,10.7875,3.09166666666667,2017-10-20
67.2052,10.975,7.67916666666667,2017-10-21
67.52118,10.2541666666667,7.03333333333333,2017-10-22
48.42899,8.54166666666667,5.7875,2017-10-23
45.43544,9.09166666666667,6.0375,2017-10-24
59.07272,9.7125,6.16666666666667,2017-10-25
66.45681,8.47083333333333,5.92916666666667,2017-10-26
66.5566,7.0875,5.99583333333333,2017-10-27
75.43746,9.8625,6.525,2017-10-28
75.23789,5.29583333333333,5.65416666666667,2017-10-29
58.47401,4.31666666666667,4.50833333333333,2017-10-30
44.35443,10.6958333333333,4.6,2017-10-31
68.20305,10.5875,5.7125,2017-11-01
66.25724,5.65,3.83333333333333,2017-11-02
46.05078,5.7,5.54583333333333,2017-11-03
61.46756,6.33333333333333,4.50416666666667,2017-11-04
