amean_y1,amean_y2,amean_y3,amean_y4,amean_y5,amean_y6,amean_y7,amean_y8,amean_y9,amean_y10,amean_y11,amean_y12,amean_y13,amean_y14,amean_y15,amean_y16,k0,k1,k2,k3,ward91,cquint,region91,lungc3064,cpm3064,allmort3064,lungc65pls,cpm65pls,allmort65pls,pop3064,pop65pls,exp_lungc3064,exp_cpm_3064,exp_all_3064,exp_lungc65pls,exp_cpm_65pls,exp_all_65pls,RR_lungc3064,RR_cpm3064,RR_allmort3064,RR_lungc65pls,RR_cpm65pls,RR_allmort65pls,cscore                                                                                                                                                                    
40,33,48,52,37,46,23,25,21,25,31,,20,18,17,18,43,33,26,18,02BDFS,5,5,10,39,113,18,278,464,4865,1339,10.09,46.37,101.743,16.629,188.5,305.133,0.991,0.841,1.111,1.082,1.475,1.521,3.263
38,75,36,20,56,40,35,35,25,42,42,43,32,11,,,42,42,38,22,02BEFB,3,5,7,24,51,11,99,173,2491,896,5.167,23.743,52.095,11.128,126.136,204.181,1.355,1.011,0.979,0.989,0.785,0.847,-0.67
40,44,40,37,42,44,56,28,45,47,31,21,17,19,,,40,43,36,18,02BEFR,3,5,3,27,58,21,124,206,2986,1710,6.193,28.461,62.447,21.237,240.728,389.676,0.484,0.949,0.929,0.989,0.515,0.529,-1.123
38,36,34,34,35,22,35,41,31,36,21,20,18,13,10,,36,33,27,14,02BFFS,5,5,5,12,42,15,135,220,3427,1938,7.108,32.664,71.67,24.068,272.826,441.633,0.703,0.367,0.586,0.623,0.495,0.498,2.655
54,42,54,50,42,36,37,37,22,33,27,18,15,9,8,23,50,38,25,14,02BFFT,4,5,5,11,31,11,106,190,3320,1039,6.886,31.644,69.432,12.904,146.267,236.768,0.726,0.348,0.446,0.852,0.725,0.802,0.619
30,35,36,26,28,22,22,28,19,24,20,13,13,7,5,,32,25,19,8,02BFFU,1,5,10,27,73,20,200,338,3790,1503,7.861,36.124,79.262,18.666,211.588,342.505,1.272,0.747,0.921,1.071,0.945,0.987,-3.411
27,21,26,23,22,18,22,23,16,22,18,12,12,6,4,,24,21,17,7,02BFFW,2,5,3,12,49,9,145,225,4063,1448,8.427,38.726,84.971,17.983,203.845,329.972,0.356,0.31,0.577,0.5,0.711,0.682,-1.792
33,35,37,38,34,34,33,37,23,29,24,20,24,21,18,20,36,35,24,21,02BHFF,2,5,7,29,59,21,157,251,4171,1545,8.651,39.755,87.23,19.188,217.5,352.076,0.809,0.729,0.676,1.094,0.722,0.713,-2.051
43,42,45,45,36,35,32,31,21,26,24,20,23,20,19,22,44,34,23,21,02BHFK,3,5,11,36,70,15,134,214,4359,1640,9.041,41.547,91.161,20.368,230.874,373.725,1.217,0.866,0.768,0.736,0.58,0.573,-1.081
41,49,41,35,32,33,29,29,21,28,23,21,21,18,15,18,42,31,23,18,02BHFN,1,5,2,25,69,26,181,338,3948,1493,8.188,37.63,82.566,18.542,210.18,340.226,0.244,0.664,0.836,1.402,0.861,0.993,-2.966
28,27,28,26,26,24,21,22,13,18,15,12,17,14,9,,27,23,15,13,02BHFQ,3,5,2,29,69,17,178,315,2872,1242,5.957,27.374,60.063,15.425,174.845,283.028,0.336,1.059,1.149,1.102,1.018,1.113,-0.751
33,31,33,25,22,24,20,27,24,30,25,18,22,19,17,19,31,23,24,19,02BHFS,2,5,8,38,89,26,250,397,4582,1564,9.503,43.673,95.825,19.424,220.175,356.406,0.842,0.87,0.929,1.339,1.135,1.114,-2.318
37,37,36,34,29,25,23,21,14,20,15,,14,13,13,15,36,25,16,14,02BJFE,2,5,1,18,38,14,108,159,2744,1030,5.691,26.154,57.386,12.792,145,234.717,0.176,0.688,0.662,1.094,0.745,0.677,-1.972
28,26,26,22,20,26,23,23,16,21,19,16,17,15,14,21,26,23,18,17,02BJFW,3,5,7,30,90,15,210,322,3914,1745,8.118,37.306,81.855,21.672,245.656,397.652,0.862,0.804,1.1,0.692,0.855,0.81,-1.3
53,43,58,38,40,37,43,32,,28,21,15,15,14,14,13,48,38,21,14,02BKFD,3,5,4,5,35,11,106,187,4936,2313,10.238,47.047,103.228,28.726,325.617,527.088,0.391,0.106,0.339,0.383,0.326,0.355,-1.154
68,48,37,,55,47,44,43,43,43,36,33,28,29,23,22,51,47,39,26,02BKFM,5,5,8,31,88,12,141,245,4519,1822,9.373,43.072,94.507,22.628,256.495,415.199,0.854,0.72,0.931,0.53,0.55,0.59,5.36
90,99,49,106,91,74,38,27,38,37,32,29,27,33,17,17,86,58,34,24,03BLFB,3,8,13,59,131,19,256,400,5626,1785,11.669,53.623,117.658,22.168,251.287,406.767,1.114,1.1,1.113,0.857,1.019,0.983,-0.967
154,161,133,132,123,106,96,81,,83,60,46,54,49,33,32,145,102,63,42,03BLFD,5,8,22,93,180,23,303,468,6079,1859,12.608,57.941,127.132,23.087,261.704,423.631,1.745,1.605,1.416,0.996,1.158,1.105,3.268
,,119,119,109,104,87,61,49,49,46,41,41,38,21,24,119,90,46,31,03BLFJ,3,8,11,72,141,27,464,720,7548,2885,15.655,71.943,157.854,35.83,406.141,657.436,0.703,1.001,0.893,0.754,1.142,1.095,-0.766
141,134,163,143,115,109,96,83,55,49,46,42,45,43,23,27,145,101,48,35,03BLFL,5,8,12,88,158,28,327,502,4714,1971,9.777,44.931,98.586,24.478,277.471,449.153,1.227,1.959,1.603,1.144,1.179,1.118,4.007
