X,Y
-73.8250,45.4250
-73.8250,45.4350
-73.8250,45.4450
-73.8250,45.4550
-73.8250,45.4650
-73.8250,45.4750
-73.8250,45.4850
-73.8250,45.4950
-73.8250,45.5050
-73.8250,45.5150
-73.8150,45.4350
-73.8150,45.4450
-73.8150,45.4550
-73.8150,45.4650
-73.8150,45.4750
-73.8150,45.4850
-73.8150,45.4950
-73.8150,45.5050
-73.8150,45.5150
-73.8050,45.4350
-73.8050,45.4450
-73.8050,45.4550
-73.8050,45.4650
-73.8050,45.4750
-73.8050,45.4850
-73.8050,45.4950
-73.8050,45.5050
-73.8050,45.5150
-73.7950,45.4450
-73.7950,45.4550
-73.7950,45.4650
-73.7950,45.4750
-73.7950,45.4850
-73.7950,45.4950
-73.7950,45.5050
-73.7850,45.4450
-73.7850,45.4550
-73.7850,45.4650
-73.7850,45.4750
-73.7850,45.4850
-73.7850,45.4950
-73.7850,45.5050
-73.7750,45.4450
-73.7750,45.4550
-73.7750,45.4650
-73.7750,45.4750
-73.7750,45.4850
-73.7750,45.4950
-73.7750,45.5050
-73.7650,45.4350
-73.7650,45.4450
-73.7650,45.4550
-73.7650,45.4650
-73.7650,45.4750
-73.7650,45.4850
-73.7650,45.4950
-73.7650,45.5050
-73.7550,45.4350
-73.7550,45.4450
-73.7550,45.4550
-73.7550,45.4650
-73.7550,45.4750
-73.7550,45.4850
-73.7550,45.4950
-73.7550,45.5050
-73.7550,45.5150
-73.7450,45.4350
-73.7450,45.4450
-73.7450,45.4550
-73.7450,45.4650
-73.7450,45.4750
-73.7450,45.4850
-73.7450,45.4950
-73.7450,45.5050
-73.7450,45.5150
-73.7350,45.4350
-73.7350,45.4450
-73.7350,45.4550
-73.7350,45.4650
-73.7350,45.4750
-73.7350,45.4850
-73.7350,45.4950
-73.7350,45.5050
-73.7350,45.5150
-73.7350,45.5250
-73.7250,45.4350
-73.7250,45.4450
-73.7250,45.4550
-73.7250,45.4650
-73.7250,45.4750
-73.7250,45.4850
-73.7250,45.4950
-73.7250,45.5050
-73.7250,45.5150
-73.7250,45.5250
-73.7250,45.5350
-73.7150,45.4350
-73.7150,45.4450
-73.7150,45.4550
-73.7150,45.4650
-73.7150,45.4750
-73.7150,45.4850
-73.7150,45.4950
-73.7150,45.5050
-73.7150,45.5150
-73.7150,45.5250
-73.7150,45.5350
-73.7050,45.4350
-73.7050,45.4450
-73.7050,45.4550
-73.7050,45.4650
-73.7050,45.4750
-73.7050,45.4850
-73.7050,45.4950
-73.7050,45.5050
-73.7050,45.5150
-73.7050,45.5250
-73.7050,45.5350
-73.7050,45.5450
-73.6950,45.4350
-73.6950,45.4450
-73.6950,45.4550
-73.6950,45.4650
-73.6950,45.4750
-73.6950,45.4850
-73.6950,45.4950
-73.6950,45.5050
-73.6950,45.5150
-73.6950,45.5250
-73.6950,45.5350
-73.6950,45.5450
-73.6850,45.4350
-73.6850,45.4450
-73.6850,45.4550
-73.6850,45.4650
-73.6850,45.4750
-73.6850,45.4850
-73.6850,45.4950
-73.6850,45.5050
-73.6850,45.5150
-73.6850,45.5250
-73.6850,45.5350
-73.6850,45.5450
-73.6750,45.4250
-73.6750,45.4350
-73.6750,45.4450
-73.6750,45.4550
-73.6750,45.4650
-73.6750,45.4750
-73.6750,45.4850
-73.6750,45.4950
-73.6750,45.5050
-73.6750,45.5150
-73.6750,45.5250
-73.6750,45.5350
-73.6750,45.5450
-73.6750,45.5550
-73.6650,45.4250
-73.6650,45.4350
-73.6650,45.4450
-73.6650,45.4550
-73.6650,45.4650
-73.6650,45.4750
-73.6650,45.4850
-73.6650,45.4950
-73.6650,45.5050
-73.6650,45.5150
-73.6650,45.5250
-73.6650,45.5350
-73.6650,45.5450
-73.6650,45.5550
-73.6650,45.5650
-73.6650,45.5750
-73.6550,45.4250
-73.6550,45.4350
-73.6550,45.4450
-73.6550,45.4550
-73.6550,45.4650
-73.6550,45.4750
-73.6550,45.4850
-73.6550,45.4950
-73.6550,45.5050
-73.6550,45.5150
-73.6550,45.5250
-73.6550,45.5350
-73.6550,45.5450
-73.6550,45.5550
-73.6550,45.5650
-73.6550,45.5750
-73.6550,45.5850
-73.6450,45.4150
-73.6450,45.4250
-73.6450,45.4350
-73.6450,45.4450
-73.6450,45.4550
-73.6450,45.4650
-73.6450,45.4750
-73.6450,45.4850
-73.6450,45.4950
-73.6450,45.5050
-73.6450,45.5150
-73.6450,45.5250
-73.6450,45.5350
-73.6450,45.5450
-73.6450,45.5550
-73.6450,45.5650
-73.6450,45.5750
-73.6450,45.5850
-73.6450,45.5950
-73.6450,45.6050
-73.6350,45.4150
-73.6350,45.4250
